Matricula;Idade;Sexo;Escolaridade;Cargo;Anos_experiencia;Salario
502511;66;M;Pós-Graduação;Advogado de Contratos;34;11833.93
581302;47;F;4ª Série Incompleta;Afiador de Ferramentas;9;1773.79
801931;23;M;4ª Série Incompleta;Afiador de Ferramentas;0;1773.79
806233;23;M;4ª Série Incompleta;Afiador de Ferramentas;0;1773.79
511586;53;M;4ª Série Completa;Afiador de Ferramentas;21;1872.35
546778;36;M;5ª a 8ª Série Incompleta;Afiador de Ferramentas;9;1872.35
540383;44;F;5ª a 8ª Série Incompleta;Afiador de Ferramentas;11;1872.35
581220;48;M;5ª a 8ª Série Incompleta;Afiador de Ferramentas;10;1773.79
582277;40;M;5ª a 8ª Série Incompleta;Afiador de Ferramentas;5;1773.79
588450;41;M;1º Grau Completo;Afiador de Ferramentas;2;1773.79
531415;55;M;2º Grau Incompleto;Afiador de Ferramentas;13;1773.79
570454;36;M;2º Grau Incompleto;Afiador de Ferramentas;4;1773.79
572280;41;M;2º Grau Incompleto;Afiador de Ferramentas;4;1773.79
579241;39;M;2º Grau Incompleto;Afiador de Ferramentas;3;1773.79
533380;32;M;2º Grau Completo;Afiador de Ferramentas;12;1872.35
549336;36;M;2º Grau Completo;Afiador de Ferramentas;9;1773.79
562673;26;M;2º Grau Completo;Afiador de Ferramentas;6;1773.79
566369;31;F;2º Grau Completo;Afiador de Ferramentas;6;1773.79
572498;31;F;2º Grau Completo;Afiador de Ferramentas;4;1773.79
579731;45;M;2º Grau Completo;Afiador de Ferramentas;2;1773.79
581917;30;M;2º Grau Completo;Afiador de Ferramentas;7;1773.79
568238;24;F;Superior Incompleto;Afiador de Ferramentas;5;1773.79
566768;44;F;Superior Completo;Afiador de Ferramentas;6;1773.79
806000;32;M;4ª Série Incompleta;Ajudante de Motorista;0;1835.05
806001;34;M;4ª Série Incompleta;Ajudante de Motorista;0;1835.05
586105;30;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;2;1835.05
597435;32;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;1;1835.05
594157;47;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;1;1835.05
803742;43;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;0;1835.05
805044;27;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;0;1835.05
801276;35;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;0;1835.05
800595;47;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;0;1835.05
800422;29;M;5ª a 8ª Série Incompleta;Ajudante de Motorista;1;1835.05
599689;33;M;1º Grau Completo;Ajudante de Motorista;1;1835.05
800495;23;M;1º Grau Completo;Ajudante de Motorista;0;1835.05
594783;23;M;1º Grau Completo;Ajudante de Motorista;1;1835.05
596358;43;M;1º Grau Completo;Ajudante de Motorista;1;1835.05
577892;32;M;1º Grau Completo;Ajudante de Motorista;3;1835.05
578622;31;M;1º Grau Completo;Ajudante de Motorista;3;1835.05
573871;22;M;2º Grau Incompleto;Ajudante de Motorista;4;1773.79
804865;31;M;2º Grau Incompleto;Ajudante de Motorista;0;1835.05
801962;23;M;2º Grau Incompleto;Ajudante de Motorista;0;1835.05
552547;38;M;2º Grau Completo;Ajudante de Motorista;8;1835.05
580770;41;M;2º Grau Completo;Ajudante de Motorista;2;1835.05
576264;30;M;2º Grau Completo;Ajudante de Motorista;3;1835.05
594694;29;M;2º Grau Completo;Ajudante de Motorista;1;1810.41
805619;23;M;2º Grau Completo;Ajudante de Motorista;0;1835.05
804601;34;M;2º Grau Completo;Ajudante de Motorista;0;1835.05
802292;29;M;2º Grau Completo;Ajudante de Motorista;0;1835.05
801655;32;M;2º Grau Completo;Ajudante de Motorista;0;1835.05
598477;59;M;2º Grau Completo;Ajudante de Motorista;1;1835.05
806187;44;M;2º Grau Completo;Ajudante de Motorista;0;1835.05
571255;29;M;Superior Completo;Ajudante de Motorista;4;1817.09
568366;28;M;Pós-Graduação;Ajudante de Motorista;5;1835.05
577889;33;M;Técnico;Ajudante de Motorista;3;1773.79
575113;41;M;Técnico;Ajudante de Motorista;3;1835.05
598352;42;M;Técnico;Ajudante de Motorista;1;1773.79
565799;34;F;Superior Completo;Analista Adm. - Alimentos;6;4231.77
573247;48;M;Superior Completo;Analista Adm. - Custos;4;7942.79
505333;49;M;Pós-Graduação;Analista Adm. - Custos;29;6787.96
565422;25;F;Superior Completo;Analista Adm. - Logística;6;4408.09
570868;23;F;Superior Completo;Analista Adm. - Logística;4;2043.98
554594;30;F;Pós-Graduação;Analista Adm. - OSM;8;4062.5
509630;41;F;Superior Completo;Analista Adm. - Projetos;22;7365.41
551273;33;F;Superior Completo;Analista Adm. - Qualidade;8;6787.96
556279;26;M;Superior Incompleto;Analista Adm. - Seguros;8;4062.5
